scan_id,principle,scan_number,provider,model,temperature,context_mode,findings_count,parse_errors,duration_ms,error
fastjson2_DIP_scan_01,DIP,1,gemini,gemini-3-flash-preview,0.2,full-repo,4,0,86470.24989128113,
fastjson2_DIP_scan_02,DIP,2,gemini,gemini-3-flash-preview,0.5,full-repo,3,0,112185.51135063171,
fastjson2_DIP_scan_03,DIP,3,gemini,gemini-2.5-flash,0.8,full-repo,5,0,30105.38601875305,
fastjson2_DIP_scan_04,DIP,4,gemini,gemini-2.5-flash,0.2,smell-two-step,4,0,16424.24726486206,
fastjson2_DIP_scan_05,DIP,5,gemini,gemini-2.5-flash,0.5,smell-two-step,53,0,46448.508977890015,
fastjson2_DIP_scan_06,DIP,6,gemini,gemini-2.5-flash,0.8,smell-two-step,4,0,26873.544931411743,
fastjson2_DIP_scan_07,DIP,7,gemini,gemini-2.5-flash,0.2,class-centric,4,0,14576.687812805176,
fastjson2_DIP_scan_08,DIP,8,gemini,gemini-2.5-flash,0.5,class-centric,2,0,20111.848831176758,
fastjson2_DIP_scan_09,DIP,9,gemini,gemini-2.5-flash,0.8,class-centric,12,0,21958.240032196045,
fastjson2_DIP_scan_10,DIP,10,gemini,gemini-2.5-flash,0.2,skeleton,5,0,33839.054107666016,
fastjson2_DIP_scan_11,DIP,11,gemini,gemini-2.5-flash,0.5,skeleton,5,0,43050.01211166382,
fastjson2_DIP_scan_12,DIP,12,gemini,gemini-2.5-flash,0.8,skeleton,8,0,49619.76218223572,
fastjson2_ISP_scan_01,ISP,1,gemini,gemini-3-flash-preview,0.2,full-repo,3,0,124103.71398925781,
fastjson2_ISP_scan_02,ISP,2,gemini,gemini-3-flash-preview,0.5,full-repo,2,0,251560.43982505798,
fastjson2_ISP_scan_03,ISP,3,gemini,gemini-3-flash-preview,0.8,full-repo,2,0,155886.76190376282,
fastjson2_ISP_scan_04,ISP,4,gemini,gemini-3-flash-preview,0.2,smell-two-step,2,0,249719.9649810791,
fastjson2_ISP_scan_05,ISP,5,gemini,gemini-3-flash-preview,0.5,smell-two-step,2,0,265122.7939128876,
fastjson2_ISP_scan_06,ISP,6,gemini,gemini-3-flash-preview,0.8,smell-two-step,2,0,126266.28398895264,
fastjson2_ISP_scan_07,ISP,7,gemini,gemini-3-flash-preview,0.2,class-centric,1,0,178569.16880607605,
fastjson2_ISP_scan_08,ISP,8,gemini,gemini-3-flash-preview,0.5,class-centric,1,0,172202.7289867401,
fastjson2_ISP_scan_09,ISP,9,gemini,gemini-3-flash-preview,0.8,class-centric,1,0,78732.41305351257,
fastjson2_ISP_scan_10,ISP,10,gemini,gemini-3-flash-preview,0.2,skeleton,3,0,40206.20918273926,
fastjson2_ISP_scan_11,ISP,11,gemini,gemini-3-flash-preview,0.5,skeleton,3,0,20684.504747390747,
fastjson2_ISP_scan_12,ISP,12,gemini,gemini-3-flash-preview,0.8,skeleton,3,0,35537.37282752991,
fastjson2_LSP_scan_01,LSP,1,gemini,gemini-2.5-flash-lite,0.2,full-repo,69,0,39627.23994255066,
fastjson2_LSP_scan_02,LSP,2,gemini,gemini-2.5-flash-lite,0.5,full-repo,74,0,41220.57914733887,
fastjson2_LSP_scan_03,LSP,3,gemini,gemini-2.5-flash-lite,0.8,full-repo,69,0,38849.843978881836,
fastjson2_LSP_scan_04,LSP,4,gemini,gemini-2.5-flash-lite,0.2,smell-two-step,0,0,2501.636743545532,
fastjson2_LSP_scan_05,LSP,5,gemini,gemini-2.5-flash-lite,0.5,smell-two-step,0,0,2416.303873062134,
fastjson2_LSP_scan_06,LSP,6,gemini,gemini-2.5-flash-lite,0.8,smell-two-step,0,0,2329.047918319702,
fastjson2_LSP_scan_07,LSP,7,gemini,gemini-2.5-flash-lite,0.2,class-centric,0,0,2084.7129821777344,
fastjson2_LSP_scan_08,LSP,8,gemini,gemini-2.5-flash-lite,0.5,class-centric,0,0,1589.7548198699951,
fastjson2_LSP_scan_09,LSP,9,gemini,gemini-2.5-flash-lite,0.8,class-centric,0,0,112386.38591766357,
fastjson2_LSP_scan_10,LSP,10,gemini,gemini-2.5-flash-lite,0.2,skeleton,83,0,30859.633922576904,
fastjson2_LSP_scan_11,LSP,11,gemini,gemini-2.5-flash,0.5,skeleton,12,0,34486.16719245911,
fastjson2_LSP_scan_12,LSP,12,gemini,gemini-2.5-flash,0.8,skeleton,37,0,75110.81600189209,
fastjson2_OCP_scan_01,OCP,1,gemini,gemini-2.5-flash-lite,0.2,full-repo,34,0,16045.698881149292,
fastjson2_OCP_scan_02,OCP,2,gemini,gemini-2.5-flash-lite,0.5,full-repo,82,0,30584.172010421753,
fastjson2_OCP_scan_03,OCP,3,gemini,gemini-2.5-flash-lite,0.8,full-repo,88,0,41344.23232078552,
fastjson2_OCP_scan_04,OCP,4,gemini,gemini-2.5-flash-lite,0.2,smell-two-step,43,0,30148.820877075195,
fastjson2_OCP_scan_05,OCP,5,gemini,gemini-2.5-flash-lite,0.5,smell-two-step,58,0,23015.088081359863,
fastjson2_OCP_scan_06,OCP,6,gemini,gemini-2.5-flash-lite,0.8,smell-two-step,42,0,18378.546953201294,
fastjson2_OCP_scan_07,OCP,7,gemini,gemini-2.5-flash-lite,0.2,class-centric,0,1,32327.520847320557,
fastjson2_OCP_scan_08,OCP,8,gemini,gemini-2.5-flash-lite,0.5,class-centric,64,0,41994.494915008545,
fastjson2_OCP_scan_09,OCP,9,gemini,gemini-2.5-flash-lite,0.8,class-centric,88,0,32253.686904907227,
fastjson2_OCP_scan_10,OCP,10,gemini,gemini-2.5-flash-lite,0.2,skeleton,11,0,13763.301849365234,
fastjson2_OCP_scan_11,OCP,11,gemini,gemini-2.5-flash-lite,0.5,skeleton,12,0,11403.233051300049,
fastjson2_OCP_scan_12,OCP,12,gemini,gemini-2.5-flash-lite,0.8,skeleton,9,0,12528.47695350647,
fastjson2_SRP_scan_01,SRP,1,gemini,gemini-flash-latest,0.2,full-repo,4,0,24627.8657913208,
fastjson2_SRP_scan_02,SRP,2,gemini,gemini-2.5-flash,0.5,full-repo,2,0,18573.13585281372,
fastjson2_SRP_scan_03,SRP,3,gemini,gemini-2.5-flash,0.8,full-repo,8,0,23638.007879257202,
fastjson2_SRP_scan_04,SRP,4,gemini,gemini-2.5-flash,0.2,smell-two-step,11,0,25461.1177444458,
fastjson2_SRP_scan_05,SRP,5,gemini,gemini-2.5-flash,0.5,smell-two-step,3,0,20571.48003578186,
fastjson2_SRP_scan_06,SRP,6,gemini,gemini-2.5-flash,0.8,smell-two-step,0,1,37268.73707771301,
fastjson2_SRP_scan_07,SRP,7,gemini,gemini-2.5-flash,0.2,class-centric,6,0,27313.67301940918,
fastjson2_SRP_scan_08,SRP,8,gemini,gemini-2.5-flash,0.5,class-centric,3,0,28640.573024749756,
fastjson2_SRP_scan_09,SRP,9,gemini,gemini-2.5-flash,0.8,class-centric,5,0,31409.193992614746,
