scan_id,principle,scan_number,provider,model,temperature,context_mode,findings_count,parse_errors,duration_ms,error
flask_DIP_scan_01,DIP,1,gemini,gemini-flash-latest,0.2,full-repo,5,0,35860.392808914185,
flask_DIP_scan_02,DIP,2,gemini,gemini-flash-latest,0.5,full-repo,7,0,20803.31802368164,
flask_DIP_scan_03,DIP,3,gemini,gemini-flash-latest,0.8,full-repo,6,0,23794.666051864624,
flask_DIP_scan_04,DIP,4,gemini,gemini-flash-latest,0.2,smell-two-step,4,0,73335.7138633728,
flask_DIP_scan_05,DIP,5,gemini,gemini-flash-latest,0.5,smell-two-step,5,0,22317.440032958984,
flask_DIP_scan_06,DIP,6,gemini,gemini-flash-latest,0.8,smell-two-step,3,0,26777.481079101562,
flask_DIP_scan_07,DIP,7,gemini,gemini-flash-latest,0.2,class-centric,4,0,80359.9328994751,
flask_DIP_scan_08,DIP,8,gemini,gemini-flash-latest,0.5,class-centric,6,0,27918.92719268799,
flask_DIP_scan_09,DIP,9,gemini,gemini-flash-latest,0.8,class-centric,6,0,29212.07880973816,
flask_DIP_scan_10,DIP,10,gemini,gemini-flash-latest,0.2,skeleton,5,0,46843.78099441528,
flask_DIP_scan_11,DIP,11,gemini,gemini-flash-latest,0.5,skeleton,5,0,34550.73285102844,
flask_DIP_scan_12,DIP,12,gemini,gemini-flash-latest,0.8,skeleton,6,0,21139.1921043396,
flask_ISP_scan_01,ISP,1,gemini,gemini-2.5-flash-lite,0.2,full-repo,0,0,4366.700887680054,
flask_ISP_scan_02,ISP,2,gemini,gemini-2.5-flash-lite,0.5,full-repo,0,0,8673.078060150146,
flask_ISP_scan_03,ISP,3,gemini,gemini-2.5-flash-lite,0.8,full-repo,84,0,50765.86699485779,
flask_ISP_scan_04,ISP,4,gemini,gemini-2.5-flash-lite,0.2,smell-two-step,0,0,5094.644784927368,
flask_ISP_scan_05,ISP,5,gemini,gemini-flash-latest,0.5,smell-two-step,3,0,52991.41979217529,
flask_ISP_scan_06,ISP,6,gemini,gemini-flash-latest,0.8,smell-two-step,3,0,46885.7319355011,
flask_ISP_scan_07,ISP,7,gemini,gemini-flash-latest,0.2,class-centric,1,0,55750.58317184448,
flask_ISP_scan_08,ISP,8,gemini,gemini-flash-latest,0.5,class-centric,1,0,69131.23202323914,
flask_ISP_scan_09,ISP,9,gemini,gemini-flash-latest,0.8,class-centric,2,0,61873.86608123779,
flask_ISP_scan_10,ISP,10,gemini,gemini-flash-latest,0.2,skeleton,3,0,54719.51103210449,
flask_ISP_scan_11,ISP,11,gemini,gemini-flash-latest,0.5,skeleton,3,0,35978.477001190186,
flask_ISP_scan_12,ISP,12,gemini,gemini-flash-latest,0.8,skeleton,3,0,35353.607177734375,
flask_LSP_scan_01,LSP,1,gemini,gemini-2.5-flash-lite,0.2,full-repo,0,0,6681.352853775024,
flask_LSP_scan_02,LSP,2,gemini,gemini-2.5-flash-lite,0.5,full-repo,0,0,4368.673801422119,
flask_LSP_scan_03,LSP,3,gemini,gemini-2.5-flash-lite,0.8,full-repo,0,0,8984.665155410767,
flask_LSP_scan_04,LSP,4,gemini,gemini-2.5-flash-lite,0.2,smell-two-step,0,0,5292.459964752197,
flask_LSP_scan_05,LSP,5,gemini,gemini-2.5-flash-lite,0.5,smell-two-step,26,0,15437.967777252197,
flask_LSP_scan_06,LSP,6,gemini,gemini-2.5-flash-lite,0.8,smell-two-step,0,0,8055.567026138306,
flask_LSP_scan_07,LSP,7,gemini,gemini-2.5-flash-lite,0.2,class-centric,0,0,4064.1989707946777,
flask_LSP_scan_08,LSP,8,gemini,gemini-2.5-flash-lite,0.5,class-centric,0,0,3826.176166534424,
flask_LSP_scan_09,LSP,9,gemini,gemini-2.5-flash-lite,0.8,class-centric,0,1,4622.5128173828125,
flask_LSP_scan_10,LSP,10,gemini,gemini-2.5-flash-lite,0.2,skeleton,10,0,8373.143911361694,
flask_LSP_scan_11,LSP,11,gemini,gemini-2.5-flash-lite,0.5,skeleton,7,0,8172.119855880737,
flask_LSP_scan_12,LSP,12,gemini,gemini-2.5-flash-lite,0.8,skeleton,9,0,8276.676177978516,
flask_OCP_scan_01,OCP,1,gemini,gemini-2.5-flash,0.2,full-repo,14,0,45551.552057266235,
flask_OCP_scan_02,OCP,2,gemini,gemini-2.5-flash,0.5,full-repo,10,0,50305.22394180298,
flask_OCP_scan_03,OCP,3,gemini,gemini-2.5-flash,0.8,full-repo,10,0,74375.54097175598,
flask_OCP_scan_04,OCP,4,gemini,gemini-2.5-flash,0.2,smell-two-step,4,0,51727.85782814026,
flask_OCP_scan_05,OCP,5,gemini,gemini-2.5-flash,0.5,smell-two-step,3,0,46420.584201812744,
flask_OCP_scan_06,OCP,6,gemini,gemini-2.5-flash,0.8,smell-two-step,3,0,24347.6300239563,
flask_OCP_scan_07,OCP,7,gemini,gemini-2.5-flash,0.2,class-centric,12,0,61196.44594192505,
flask_OCP_scan_08,OCP,8,gemini,gemini-2.5-flash-lite,0.5,class-centric,0,0,3673.393964767456,
flask_OCP_scan_09,OCP,9,gemini,gemini-2.5-flash-lite,0.8,class-centric,0,0,4141.665935516357,
flask_OCP_scan_10,OCP,10,gemini,gemini-2.5-flash-lite,0.2,skeleton,88,0,48311.63692474365,
flask_OCP_scan_11,OCP,11,gemini,gemini-2.5-flash-lite,0.5,skeleton,43,0,26734.050035476685,
