scan_id,principle,scan_number,provider,model,temperature,context_mode,findings_count,parse_errors,duration_ms,error
kotlinx-datetime_DIP_scan_01,DIP,1,gemini,gemini-2.5-flash-lite,0.2,full-repo,92,0,31091.613054275513,
kotlinx-datetime_DIP_scan_02,DIP,2,gemini,gemini-2.5-flash-lite,0.5,full-repo,77,0,32276.185989379883,
kotlinx-datetime_DIP_scan_03,DIP,3,gemini,gemini-2.5-flash-lite,0.8,full-repo,85,0,30474.660873413086,
kotlinx-datetime_DIP_scan_04,DIP,4,gemini,gemini-2.5-flash-lite,0.2,smell-two-step,34,0,36087.1798992157,
kotlinx-datetime_DIP_scan_05,DIP,5,gemini,gemini-2.5-flash-lite,0.5,smell-two-step,74,0,33811.97214126587,
kotlinx-datetime_DIP_scan_06,DIP,6,gemini,gemini-2.5-flash-lite,0.8,smell-two-step,84,0,35909.36589241028,
kotlinx-datetime_DIP_scan_07,DIP,7,gemini,gemini-2.5-flash-lite,0.2,class-centric,1,0,10672.68419265747,
kotlinx-datetime_DIP_scan_08,DIP,8,gemini,gemini-2.5-flash-lite,0.5,class-centric,1,0,12190.840244293213,
kotlinx-datetime_DIP_scan_09,DIP,9,gemini,gemini-2.5-flash-lite,0.8,class-centric,4,0,5766.114711761475,
kotlinx-datetime_DIP_scan_10,DIP,10,gemini,gemini-2.5-flash-lite,0.2,skeleton,0,0,3271.9290256500244,
kotlinx-datetime_DIP_scan_11,DIP,11,gemini,gemini-2.5-flash-lite,0.5,skeleton,0,0,2118.502140045166,
kotlinx-datetime_DIP_scan_12,DIP,12,gemini,gemini-3-flash-preview,0.8,skeleton,0,0,8221.768140792847,
kotlinx-datetime_ISP_scan_01,ISP,1,gemini,gemini-flash-lite-latest,0.2,full-repo,2,0,9656.622171401978,
kotlinx-datetime_ISP_scan_02,ISP,2,gemini,gemini-flash-lite-latest,0.5,full-repo,2,0,2143.9599990844727,
kotlinx-datetime_ISP_scan_03,ISP,3,gemini,gemini-flash-lite-latest,0.8,full-repo,2,0,2448.745012283325,
kotlinx-datetime_ISP_scan_04,ISP,4,gemini,gemini-3-flash-preview,0.2,smell-two-step,1,0,87724.49588775635,
kotlinx-datetime_ISP_scan_05,ISP,5,gemini,gemini-3-flash-preview,0.5,smell-two-step,1,0,71343.50919723511,
kotlinx-datetime_ISP_scan_06,ISP,6,gemini,gemini-3-flash-preview,0.8,smell-two-step,0,0,43675.2188205719,
kotlinx-datetime_ISP_scan_07,ISP,7,gemini,gemini-3-flash-preview,0.2,class-centric,2,0,34283.37287902832,
kotlinx-datetime_ISP_scan_08,ISP,8,gemini,gemini-3-flash-preview,0.5,class-centric,0,0,23763.263940811157,
kotlinx-datetime_ISP_scan_09,ISP,9,gemini,gemini-2.5-flash-lite,0.8,class-centric,0,0,7849.823951721191,
kotlinx-datetime_ISP_scan_10,ISP,10,gemini,gemini-2.5-flash-lite,0.2,skeleton,3,0,7875.938177108765,
kotlinx-datetime_ISP_scan_11,ISP,11,gemini,gemini-2.5-flash-lite,0.5,skeleton,0,0,50668.40386390686,
kotlinx-datetime_ISP_scan_12,ISP,12,gemini,gemini-2.5-flash-lite,0.8,skeleton,2,0,7759.57989692688,
kotlinx-datetime_LSP_scan_01,LSP,1,gemini,gemini-flash-lite-latest,0.2,full-repo,1,0,2207.1492671966553,
kotlinx-datetime_LSP_scan_02,LSP,2,gemini,gemini-flash-lite-latest,0.5,full-repo,1,0,2939.470052719116,
kotlinx-datetime_LSP_scan_03,LSP,3,gemini,gemini-flash-lite-latest,0.8,full-repo,1,0,2016.5140628814697,
kotlinx-datetime_LSP_scan_04,LSP,4,gemini,gemini-flash-lite-latest,0.2,smell-two-step,1,0,2948.870897293091,
kotlinx-datetime_LSP_scan_05,LSP,5,gemini,gemini-flash-lite-latest,0.5,smell-two-step,1,0,2268.1732177734375,
kotlinx-datetime_LSP_scan_06,LSP,6,gemini,gemini-flash-lite-latest,0.8,smell-two-step,1,0,2369.272232055664,
kotlinx-datetime_LSP_scan_07,LSP,7,gemini,gemini-flash-lite-latest,0.2,class-centric,0,0,948.5909938812256,
kotlinx-datetime_LSP_scan_08,LSP,8,gemini,gemini-flash-lite-latest,0.5,class-centric,0,0,20074.615716934204,
kotlinx-datetime_LSP_scan_09,LSP,9,gemini,gemini-flash-lite-latest,0.8,class-centric,0,0,20874.59087371826,
kotlinx-datetime_LSP_scan_10,LSP,10,gemini,gemini-flash-lite-latest,0.2,skeleton,2,0,22280.06076812744,
kotlinx-datetime_LSP_scan_11,LSP,11,gemini,gemini-flash-lite-latest,0.5,skeleton,0,0,3583.0540657043457,
kotlinx-datetime_LSP_scan_12,LSP,12,gemini,gemini-flash-lite-latest,0.8,skeleton,0,0,2156.496047973633,
kotlinx-datetime_OCP_scan_01,OCP,1,gemini,gemini-flash-lite-latest,0.2,full-repo,3,0,3671.3781356811523,
kotlinx-datetime_OCP_scan_02,OCP,2,gemini,gemini-flash-lite-latest,0.5,full-repo,2,0,2878.4031867980957,
kotlinx-datetime_OCP_scan_03,OCP,3,gemini,gemini-flash-lite-latest,0.8,full-repo,2,0,3822.4759101867676,
kotlinx-datetime_OCP_scan_04,OCP,4,gemini,gemini-flash-lite-latest,0.2,smell-two-step,2,0,2941.8089389801025,
kotlinx-datetime_OCP_scan_05,OCP,5,gemini,gemini-flash-lite-latest,0.5,smell-two-step,2,0,6005.483865737915,
kotlinx-datetime_OCP_scan_06,OCP,6,gemini,gemini-flash-lite-latest,0.8,smell-two-step,2,0,3142.3349380493164,
kotlinx-datetime_OCP_scan_07,OCP,7,gemini,gemini-flash-lite-latest,0.2,class-centric,0,0,596.5330600738525,
