issue_id,principle,status,detection_label,file_path,entity,model,patch_blocks,tests_total,tests_passed,tests_failed,tests_skipped,tests_duration_ms,avg_cc_before,avg_cc_after,mi_before,mi_after,head_commit
DIP-001,DIP,applied_passed,,src/flask/app.py,Flask.__init__,gemini-3.1-flash-lite,1,0,0,0,0,207.2129249572754,2.72,2.74,18.37,18.21,729fd2a59fbe881ac20fe4203e66872c0e33b8d4
DIP-002,DIP,applied_passed,,src/flask/blueprints.py,Blueprint.__init__,gemini-3.1-flash-lite,1,0,0,0,0,217.72384643554688,2.25,2.5,86.16,83.89,3306c2fb99c60e033dfa0d14bb62a626d761b718
DIP-003,DIP,applied_passed,,src/flask/sansio/app.py,App.__init__,gemini-3.1-flash-lite,2,0,0,0,0,221.29178047180176,2.45,2.41,31.2,30.92,1a41137ab5239e8e88d01da079e3addff11804d1
DIP-004,DIP,llm_error,,src/flask/ctx.py,AppContext.__init__,,0,0,0,0,0,0.0,1.84,,50.94,,3306c2fb99c60e033dfa0d14bb62a626d761b718
DIP-005,DIP,llm_error,,src/flask/cli.py,FlaskGroup.make_context,,0,0,0,0,0,0.0,4.28,,28.69,,428978b5a86a2680c2504f3b6101c6c3193d24bb
DIP-006,DIP,applied_passed,,src/flask/sansio/scaffold.py,Scaffold.jinja_loader,gemini-3.1-flash-lite,1,0,0,0,0,219.79689598083496,2.03,2.0,41.1,40.67,777df8fb464bb6d23cec02a46519d69245245790
DIP-007,DIP,llm_error,,src/flask/config.py,Config.from_pyfile,,0,0,0,0,0,0.0,1.56,,56.65,,428978b5a86a2680c2504f3b6101c6c3193d24bb
DIP-008,DIP,llm_error,,src/flask/sessions.py,SessionInterface.make_null_session,,0,0,0,0,0,0.0,1.85,,67.52,,777df8fb464bb6d23cec02a46519d69245245790
DIP-009,DIP,applied_passed,,src/flask/json/provider.py,JSONProvider,gemini-3.1-flash-lite,2,0,0,0,0,222.47600555419922,2.18,2.08,62.73,63.37,428978b5a86a2680c2504f3b6101c6c3193d24bb
DIP-010,DIP,applied_passed,,src/flask/templating.py,Environment,gemini-3.1-flash-lite,3,0,0,0,0,223.12593460083008,2.31,2.1,62.48,60.5,6d92e018e17a28f3b15c7b18cb289685399cda12
DIP-011,DIP,applied_passed,,src/flask/templating.py,DispatchingJinjaLoader,gemini-3.1-flash-lite,1,0,0,0,0,220.7958698272705,2.1,2.0,60.5,59.18,a29fe84f9974841235d0d9374046dbdae633d214
ISP-001,ISP,applied_passed,,src/flask/app.py,Flask.handle_http_exception,gemini-flash-latest,2,0,0,0,0,222.47982025146484,3.05,3.02,20.38,20.23,5756dbff444a096fcc2d5514e203aa17ca961793
ISP-002,ISP,applied_passed,,src/flask/app.py,Flask.handle_user_exception,gemini-flash-latest,2,0,0,0,0,248.64983558654785,3.02,2.95,20.23,20.31,c4651a3ecadc633071c3d21b905abb60fcd3b460
ISP-003,ISP,llm_error,,src/flask/app.py,Flask.handle_exception,,0,0,0,0,0,0.0,2.72,,18.37,,149c4814011569fe7a64e6da7794e720fb2d8392
ISP-005,ISP,applied_passed,,src/flask/app.py,Flask.dispatch_request,gemini-flash-latest,1,0,0,0,0,219.9532985687256,2.95,2.86,20.31,19.46,88ab58d17d4e75c2050d9aa1e4d577559b2d6499
ISP-006,ISP,applied_passed,,src/flask/app.py,Flask.full_dispatch_request,gemini-flash-latest,1,0,0,0,0,240.1869297027588,2.86,2.77,19.46,18.86,2fe7c66fa25cde7f95ca4c2268c2cea5b2bf5f1f
ISP-007,ISP,applied_passed,,src/flask/app.py,Flask.finalize_request,gemini-flash-latest,2,0,0,0,0,224.52688217163086,2.77,2.72,18.86,18.37,8c922276d2d1086be93d4084efaa2540209a9dd4
ISP-027,ISP,applied_passed,,src/flask/sansio/app.py,App.create_jinja_environment,gemini-3.1-flash-lite,1,0,0,0,0,210.85476875305176,2.49,2.45,31.37,31.2,149c4814011569fe7a64e6da7794e720fb2d8392
ISP-044,ISP,applied_passed,,src/flask/sansio/scaffold.py,Scaffold.add_url_rule,gemini-2.5-flash,1,0,0,0,0,224.8702049255371,1.78,2.03,42.81,41.1,8904fe16372e30f05c446174090ad77ecb8aadf9
ISP-074,ISP,applied_passed,,src/flask/sessions.py,SessionInterface,gemini-2.5-flash,4,0,0,0,0,250.1230239868164,2.0,2.25,65.71,79.26,2a94f2331db0f7e4a2f1a7f1f3455e4d8819e474
ISP-079,ISP,applied_passed,,src/flask/json/provider.py,JSONProvider,gemini-2.5-flash,2,0,0,0,0,225.4328727722168,2.07,1.72,55.69,81.36,a17598c79a85620ddcaf7cd4fdab74b8537bf31d
ISP-083,ISP,applied_passed,,src/flask/ctx.py,AppContext,gemini-flash-latest,3,0,0,0,0,221.513032913208,1.76,1.84,51.12,50.94,508b5eb6de6f53913b4611611333b95d37c3bec0
ISP-084,ISP,applied_passed,,src/flask/sessions.py,NullSession,gemini-flash-latest,2,0,0,0,0,221.25697135925293,2.0,1.85,68.15,67.52,7795e3298a93cdf5dc7a23ff0ceb471a712e9d5f
LSP-001,LSP,applied_passed,,src/flask/app.py,Flask.handle_http_exception,gemini-flash-latest,2,0,0,0,0,255.31911849975586,3.02,3.05,20.8,20.38,49a6b66638c85e943da3da77a4bb29a22add7d2f
LSP-002,LSP,applied_passed,,src/flask/app.py,Flask.handle_user_exception,gemini-2.5-flash,1,0,0,0,0,246.50812149047852,3.9,3.83,24.01,23.86,2ff8860032c08369f798062cc60ce68259d8438c
LSP-003,LSP,applied_passed,,src/flask/app.py,Flask.handle_exception,gemini-2.5-flash,1,0,0,0,0,252.43330001831055,3.83,3.56,23.86,23.11,b10b71146293f4567b0b069119d07fffb68f5d50
LSP-005,LSP,applied_passed,,src/flask/app.py,Flask.dispatch_request,gemini-2.5-flash,1,0,0,0,0,239.4580841064453,3.56,3.5,23.11,22.72,8f836c9e9a049e119f0c1d31188aadbc144dc0ae
LSP-006,LSP,applied_passed,,src/flask/app.py,Flask.full_dispatch_request,gemini-2.5-flash,1,0,0,0,0,242.4318790435791,3.5,3.45,22.72,22.05,e03a9c510d1b27b04dd45555c7492928c4319eb2
LSP-007,LSP,applied_passed,,src/flask/app.py,Flask.finalize_request,gemini-2.5-flash,1,0,0,0,0,239.74299430847168,3.45,3.4,22.05,21.59,4ebc0000df82eefcf1df8aedf792c16a6cfc390e
LSP-011,LSP,applied_passed,,src/flask/app.py,Flask.url_for,gemini-2.5-flash,1,0,0,0,0,253.2038688659668,3.4,3.35,21.59,21.4,e0af5188ef8a1cf902e83b29e0b90ca5e356cae7
LSP-017,LSP,applied_passed,,src/flask/app.py,Flask.wsgi_app,gemini-2.5-flash,1,0,0,0,0,254.7461986541748,3.97,3.9,24.23,24.01,4d8012beeb5f4c1882e46b00b8a0fc5b9ce06144
LSP-022,LSP,applied_passed,,src/flask/sansio/app.py,App.create_jinja_environment,gemini-2.5-flash,1,0,0,0,0,249.9537467956543,2.38,2.49,32.2,31.37,c73562d5353eb7987cda0ed9b3268b346b6e6319
LSP-024,LSP,applied_passed,,src/flask/sansio/scaffold.py,Scaffold._check_setup_finished,gemini-2.5-flash,1,0,0,0,0,304.02302742004395,1.78,1.78,43.09,42.81,3e591248055885af8446149c4170331f8094a95a
LSP-025,LSP,applied_passed,,src/flask/views.py,View.dispatch_request,gemini-flash-latest,1,0,0,0,0,231.08911514282227,4.5,4.5,60.69,60.69,4dabddd82eae1d45ff30be039469b576476222ce
LSP-027,LSP,patch_failed,,src/flask/sansio/blueprints.py,Blueprint.app_template_filter,gemini-3.1-flash-lite,0,0,0,0,0,0.0,2.44,,44.21,,508b5eb6de6f53913b4611611333b95d37c3bec0
OCP-001,OCP,applied_passed,,src/flask/app.py,Flask.make_response,gemini-flash-latest,2,0,0,0,0,230.33428192138672,3.35,3.3,21.4,21.22,21830c8271e7d1e06aece51daa4106a8779c6734
OCP-002,OCP,applied_passed,,src/flask/cli.py,find_best_app,gemini-2.5-flash,1,0,0,0,0,359.7533702850342,4.58,4.58,26.14,26.04,97cadaeb878f2c7ef00f9b5fe9cb6459ebaa355a
OCP-003,OCP,applied_passed,,src/flask/cli.py,find_app_by_string,gemini-2.5-flash,2,0,0,0,0,252.33888626098633,4.58,3.77,26.04,48.73,d6d7f4403c5d54775729b7fffba6b1fcc7c47808
OCP-008,OCP,applied_passed,,src/flask/sansio/app.py,App.select_jinja_autoescape,gemini-2.5-flash,2,0,0,0,0,249.61471557617188,2.38,2.38,32.43,32.2,3ee3f2b99c5d634cf2794435dd6bf42d298dbb52
OCP-010,OCP,applied_passed,,src/flask/sansio/scaffold.py,Scaffold._get_exc_class_and_code,gemini-2.5-flash,3,0,0,0,0,249.0830421447754,1.88,2.64,43.89,64.27,3ac9791145e17d3cd271499829d17c100c580919
OCP-011,OCP,applied_passed,,src/flask/sansio/blueprints.py,Blueprint.register,gemini-2.5-flash,5,0,0,0,0,251.31821632385254,2.58,2.44,44.89,44.21,a7e140de53c8c60dc587a4ba8d7fa66b6b913781
OCP-013,OCP,applied_passed,,src/flask/json/provider.py,DefaultJSONProvider._default,gemini-2.5-flash,3,0,0,0,0,284.49416160583496,2.4,2.12,57.72,69.9,8bed984cb15b4a8124a706c1e283f73002de9b3a
OCP-020,OCP,applied_passed,,src/flask/app.py,Flask.create_url_adapter,gemini-flash-latest,2,0,0,0,0,221.54808044433594,3.05,3.02,20.99,20.8,5068c9cc3468ce54e9914a12d4ec5a16f02d1761
OCP-022,OCP,applied_passed,,src/flask/app.py,Flask.run,gemini-2.5-flash,3,0,0,0,0,298.5827922821045,3.92,3.97,24.6,24.23,52d0af2a2a486cb3a29e05a3d601e9016984a554
OCP-027,OCP,applied_passed,,src/flask/app.py,Flask.make_response,gemini-flash-latest,1,0,0,0,0,221.8790054321289,3.3,3.17,21.22,20.82,c882dbb6bbb6c011dd26e00efa77c0b2d17373cb
OCP-033,OCP,applied_passed,,src/flask/app.py,Flask.make_response,gemini-flash-latest,2,0,0,0,0,219.53296661376953,3.17,3.05,20.82,20.99,0eddcd6965ea0f4ecab5e1c4a400f13f05638d16
