issue_id,principle,status,detection_label,file_path,entity,model,patch_blocks,tests_total,tests_passed,tests_failed,tests_skipped,tests_duration_ms,avg_cc_before,avg_cc_after,mi_before,mi_after,head_commit
DIP-001,DIP,detection_rejected,False,core/common/src/DeprecatedInstant.kt,Instant.now,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
DIP-004,DIP,applied_unverified,True,core/common/src/format/DateTimeComponents.kt,DateTimeComponents.toInstantUsingOffset,gemini-2.5-flash,1,0,0,0,0,0.0,14.5,10.2,62.1,75.4,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
DIP-010,DIP,applied_unverified,True,core/common/src/LocalDate.kt,LocalDate.Companion.parse,gemini-2.5-flash,1,0,0,0,0,0.0,8.0,5.0,70.0,82.5,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
DIP-011,DIP,failed,True,core/common/src/Instant.kt,Instant.parse,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
DIP-012,DIP,applied_unverified,True,core/common/src/Clock.kt,Clock.System.now,gemini-2.5-flash,2,0,0,0,0,0.0,12.0,8.5,65.2,77.1,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
DIP-013,DIP,failed,True,core/common/src/TimeZone.kt,TimeZone.currentSystemDefault,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
DIP-014,DIP,applied_unverified,True,core/common/src/TimeZone.kt,Instant.toLocalDateTime,gemini-2.5-flash,1,0,0,0,0,0.0,9.5,6.0,68.0,79.0,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
DIP-015,DIP,failed,True,core/common/src/TimeZone.kt,LocalDateTime.toInstant,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
DIP-016,DIP,applied_unverified,True,core/common/src/TimeZone.kt,LocalDate.atStartOfDayIn,gemini-2.5-flash,1,0,0,0,0,0.0,11.0,7.5,64.5,74.2,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
DIP-017,DIP,failed,True,core/common/src/TimeZone.kt,localDateTimeToInstant,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
DIP-020,DIP,applied_unverified,True,core/common/src/format/DateTimeComponents.kt,DateTimeComponents.Formats.ISO_DATE_TIME_OFFSET,gemini-2.5-flash,1,0,0,0,0,0.0,5.0,3.0,80.1,88.0,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
DIP-032,DIP,applied_unverified,True,core/common/src/format/DateTimeComponents.kt,DateTimeComponents.Formats.ISO_DATE_TIME_OFFSET,gemini-2.5-flash,1,0,0,0,0,0.0,6.5,4.0,75.0,84.5,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
ISP-001,ISP,detection_rejected,False,core/common/src/DateTimePeriod.kt,DateTimePeriod,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
ISP-002,ISP,applied_unverified,True,core/common/src/format/DateTimeComponents.kt,DateTimeComponents,gemini-2.5-flash,3,0,0,0,0,0.0,28.0,18.5,45.0,60.2,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
ISP-003,ISP,failed,True,core/common/src/DateTimePeriod.kt,DatePeriod,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
ISP-004,ISP,applied_unverified,True,app/src/main/java/com/example/app/ui/MultiFunctionPrinter.kt,IMachine,gemini-2.5-flash,2,0,0,0,0,0.0,10.0,5.0,66.5,78.4,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
ISP-005,ISP,applied_unverified,True,app/src/main/java/com/example/app/ui/MultiFunctionPrinter.kt,OldPrinter,gemini-2.5-flash,1,0,0,0,0,0.0,8.5,4.5,70.2,81.0,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
ISP-006,ISP,failed,True,src/main/kotlin/com/example/ISP_Violation.kt,Worker,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
ISP-007,ISP,applied_unverified,True,src/main/kotlin/com/example/ISP_Violation.kt,Robot,gemini-2.5-flash,2,0,0,0,0,0.0,12.0,7.0,60.5,72.1,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
ISP-008,ISP,failed,True,src/main/kotlin/com/example/ISP_Violation.kt,HumanWorker,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
ISP-009,ISP,applied_unverified,True,src/main/kotlin/com/example/ISPExample.kt,Worker,gemini-2.5-flash,1,0,0,0,0,0.0,9.0,5.5,68.4,79.5,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
ISP-010,ISP,applied_unverified,True,src/main/kotlin/com/example/ISPExample.kt,RobotWorker,gemini-2.5-flash,1,0,0,0,0,0.0,7.5,4.0,72.0,83.2,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
LSP-001,LSP,failed,True,core/common/src/DateTimePeriod.kt,DatePeriod,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
LSP-002,LSP,applied_unverified,True,src/main/kotlin/com/payment/processor/PaymentProcessor.kt,PaymentProcessor,gemini-2.5-flash,2,0,0,0,0,0.0,15.0,10.0,58.0,69.5,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
LSP-003,LSP,failed,True,src/main/kotlin/com/data/repository/ReadOnlyRepository.kt,MutableRepository,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
OCP-001,OCP,detection_rejected,False,core/common/src/DateTimePeriod.kt,DateTimePeriod.Companion.parseImpl,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
OCP-002,OCP,applied_unverified,True,core/common/src/format/Unicode.kt,byUnicodePattern,gemini-2.5-flash,4,0,0,0,0,0.0,35.0,20.0,38.5,55.0,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
OCP-003,OCP,failed,True,core/common/src/internal/format/parser/Parser.kt,List<ParserStructure<T>>.concat,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
OCP-004,OCP,applied_unverified,True,core/common/src/format/Unicode.kt,unicodeDirective,gemini-2.5-flash,2,0,0,0,0,0.0,18.0,12.0,55.2,67.8,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
OCP-005,OCP,failed,True,core/common/src/internal/format/parser/Parser.kt,ParserStructure.concat,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
OCP-006,OCP,applied_unverified,True,core/common/src/internal/format/parser/ParserOperation.kt,TimeZoneParserOperation.Companion.validateTimeZone,gemini-2.5-flash,3,0,0,0,0,0.0,22.5,14.0,50.0,62.4,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
SRP-001,SRP,applied_unverified,True,core/common/src/format/DateTimeComponents.kt,DateTimeComponents,gemini-2.5-flash,5,0,0,0,0,0.0,45.0,25.0,30.5,48.2,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
SRP-002,SRP,failed,True,core/common/src/DateTimePeriod.kt,DateTimePeriod.Companion.parse,gemini-2.5-flash,0,0,0,0,0,0.0,,,,,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
SRP-003,SRP,applied_unverified,True,core/common/src/LocalDate.kt,LocalDate,gemini-2.5-flash,3,0,0,0,0,0.0,30.0,18.0,40.0,56.5,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
SRP-004,SRP,applied_unverified,True,core/common/src/LocalDateTime.kt,LocalDateTime,gemini-2.5-flash,3,0,0,0,0,0.0,32.5,19.5,38.0,54.0,dc72ae5f971f2d97aa0c675f6fba390dbdb679f8
